tesis-core-api  | 
tesis-core-api  |   .   ____          _            __ _ _
tesis-core-api  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
tesis-core-api  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
tesis-core-api  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
tesis-core-api  |   '  |____| .__|_| |_|_| |_\__, | / / / /
tesis-core-api  |  =========|_|==============|___/=/_/_/_/
tesis-core-api  |  :: Spring Boot ::                (v3.2.0)
tesis-core-api  | 
tesis-core-api  | 2026-07-08T02:04:52.414Z  INFO 1 --- [core-api] [           main] c.t.e.coreapi.CoreApiApplication         : Starting CoreApiApplication v1.0.0 using Java 17.0.19 with PID 1 (/app/app.jar started by root in /app)
tesis-core-api  | 2026-07-08T02:04:52.424Z DEBUG 1 --- [core-api] [           main] c.t.e.coreapi.CoreApiApplication         : Running with Spring Boot v3.2.0, Spring v6.1.1
tesis-core-api  | 2026-07-08T02:04:52.425Z  INFO 1 --- [core-api] [           main] c.t.e.coreapi.CoreApiApplication         : No active profile set, falling back to 1 default profile: "default"
tesis-core-api  | 2026-07-08T02:04:59.346Z  INFO 1 --- [core-api] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
tesis-core-api  | 2026-07-08T02:04:59.664Z  INFO 1 --- [core-api] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 294 ms. Found 7 JPA repository interfaces.
tesis-core-api  | 2026-07-08T02:05:03.341Z  INFO 1 --- [core-api] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
tesis-core-api  | 2026-07-08T02:05:03.416Z  INFO 1 --- [core-api] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
tesis-core-api  | 2026-07-08T02:05:03.417Z  INFO 1 --- [core-api] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.16]
tesis-core-api  | 2026-07-08T02:05:03.595Z  INFO 1 --- [core-api] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
tesis-core-api  | 2026-07-08T02:05:03.598Z  INFO 1 --- [core-api] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 10821 ms
tesis-core-api  | 2026-07-08T02:05:04.758Z DEBUG 1 --- [core-api] [           main] c.t.e.c.i.c.JwtAuthenticationFilter      : Filter 'jwtAuthenticationFilter' configured for use
tesis-core-api  | 2026-07-08T02:05:05.222Z  INFO 1 --- [core-api] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
tesis-core-api  | 2026-07-08T02:05:06.078Z  INFO 1 --- [core-api] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@333a44f2
tesis-core-api  | 2026-07-08T02:05:06.081Z  INFO 1 --- [core-api] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
tesis-core-api  | 2026-07-08T02:05:06.727Z  INFO 1 --- [core-api] [           main] o.f.c.internal.license.VersionPrinter    : Flyway Community Edition 9.22.3 by Redgate
tesis-core-api  | 2026-07-08T02:05:06.727Z  INFO 1 --- [core-api] [           main] o.f.c.internal.license.VersionPrinter    : See release notes here: https://rd.gt/416ObMi
tesis-core-api  | 2026-07-08T02:05:06.727Z  INFO 1 --- [core-api] [           main] o.f.c.internal.license.VersionPrinter    : 
tesis-core-api  | 2026-07-08T02:05:06.882Z  INFO 1 --- [core-api] [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://core-db:5432/core_db (PostgreSQL 15.18)
tesis-core-api  | 2026-07-08T02:05:07.097Z  INFO 1 --- [core-api] [           main] o.f.c.i.s.JdbcTableSchemaHistory         : Schema history table "public"."flyway_schema_history" does not exist yet
tesis-core-api  | 2026-07-08T02:05:07.114Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbValidate     : Successfully validated 3 migrations (execution time 00:00.128s)
tesis-core-api  | 2026-07-08T02:05:07.155Z  INFO 1 --- [core-api] [           main] o.f.c.i.s.JdbcTableSchemaHistory         : Creating Schema History table "public"."flyway_schema_history" ...
tesis-core-api  | 2026-07-08T02:05:07.319Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "public": << Empty Schema >>
tesis-core-api  | 2026-07-08T02:05:07.444Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbMigrate      : Migrating schema "public" to version "1 - initial schema"
tesis-core-api  | 2026-07-08T02:05:07.724Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbMigrate      : Migrating schema "public" to version "2 - seed data"
tesis-core-api  | 2026-07-08T02:05:07.784Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbMigrate      : Migrating schema "public" to version "3 - create listings"
tesis-core-api  | 2026-07-08T02:05:07.848Z  INFO 1 --- [core-api] [           main] o.f.core.internal.command.DbMigrate      : Successfully applied 3 migrations to schema "public", now at version v3 (execution time 00:00.318s)
tesis-core-api  | 2026-07-08T02:05:08.222Z  INFO 1 --- [core-api] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
